id,Provider.ID,Hospital.Name,Location,Measure.Response.OP_17,Measure.Response.SM_PART_NURSE,Measure.Response.OP_25,Measure.Response.SM_PART_STROKE,Measure.Response.SM_PART_CARD,Measure.Response.OP_12,Measure.Response.SM_PART_GEN_SURG,Measure.Response.ACS_REGISTRY,DRG.Definition,Provider.Name,Provider.Street.Address,Provider.City,Provider.State,Provider.Zip.Code,Hospital.Referral.Region.Description,Total.Discharges,Average.Covered.Charges,Average.Total.Payments,Average.Medicare.Payments
12,110001,HAMILTON MEDICAL CENTER,"1200 MEMORIAL DRIVE
DALTON, GA 30720
(34.78888774700005, -84.98424090099996)",Yes,Y,Yes,Y,Does not have a Cardiac Surgery Program,Yes,Y,NA,243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,GA - Atlanta,14,"$55,521.00 ","$16,248.35 ","$15,204.07 "
14,110001,HAMILTON MEDICAL CENTER,"1200 MEMORIAL DRIVE
DALTON, GA 30720
(34.78888774700005, -84.98424090099996)",Yes,Y,Yes,Y,Does not have a Cardiac Surgery Program,Yes,Y,NA,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,GA - Atlanta,15,"$95,213.46 ","$32,493.93 ","$28,518.86 "
23,110001,HAMILTON MEDICAL CENTER,"1200 MEMORIAL DRIVE
DALTON, GA 30720
(34.78888774700005, -84.98424090099996)",Yes,Y,Yes,Y,Does not have a Cardiac Surgery Program,Yes,Y,NA,246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,GA - Atlanta,24,"$69,994.66 ","$20,472.25 ","$16,495.08 "
43,110001,HAMILTON MEDICAL CENTER,"1200 MEMORIAL DRIVE
DALTON, GA 30720
(34.78888774700005, -84.98424090099996)",Yes,Y,Yes,Y,Does not have a Cardiac Surgery Program,Yes,Y,NA,252 - OTHER VASCULAR PROCEDURES W MCC,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,GA - Atlanta,11,"$74,285.90 ","$19,437.36 ","$18,617.00 "
51,110001,HAMILTON MEDICAL CENTER,"1200 MEMORIAL DRIVE
DALTON, GA 30720
(34.78888774700005, -84.98424090099996)",Yes,Y,Yes,Y,Does not have a Cardiac Surgery Program,Yes,Y,NA,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,GA - Atlanta,27,"$38,828.29 ","$15,127.62 ","$14,293.85 "
53,110001,HAMILTON MEDICAL CENTER,"1200 MEMORIAL DRIVE
DALTON, GA 30720
(34.78888774700005, -84.98424090099996)",Yes,Y,Yes,Y,Does not have a Cardiac Surgery Program,Yes,Y,NA,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,GA - Atlanta,42,"$59,177.95 ","$14,675.38 ","$9,667.28 "
60,110001,HAMILTON MEDICAL CENTER,"1200 MEMORIAL DRIVE
DALTON, GA 30720
(34.78888774700005, -84.98424090099996)",Yes,Y,Yes,Y,Does not have a Cardiac Surgery Program,Yes,Y,NA,253 - OTHER VASCULAR PROCEDURES W CC,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,GA - Atlanta,15,"$63,709.00 ","$18,105.73 ","$14,045.93 "
71,110001,HAMILTON MEDICAL CENTER,"1200 MEMORIAL DRIVE
DALTON, GA 30720
(34.78888774700005, -84.98424090099996)",Yes,Y,Yes,Y,Does not have a Cardiac Surgery Program,Yes,Y,NA,418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,GA - Atlanta,15,"$32,836.33 ","$11,619.20 ","$9,646.26 "
111,110003,"MAYO CLINIC HEALTH SYSTEM IN WAYCROSS, INC","1900 TEBEAU STREET
WAYCROSS, GA 31501
(31.226013540000054, -82.34916085199995)",Yes,N,Yes,N,Does not have a Cardiac Surgery Program,Yes,N,NA,249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,SATILLA REGIONAL MEDICAL CENTER,410 DARLING AVENUE,WAYCROSS,GA,31501,FL - Jacksonville,14,"$38,514.28 ","$10,031.78 ","$9,310.92 "
118,110003,"MAYO CLINIC HEALTH SYSTEM IN WAYCROSS, INC","1900 TEBEAU STREET
WAYCROSS, GA 31501
(31.226013540000054, -82.34916085199995)",Yes,N,Yes,N,Does not have a Cardiac Surgery Program,Yes,N,NA,243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,SATILLA REGIONAL MEDICAL CENTER,410 DARLING AVENUE,WAYCROSS,GA,31501,FL - Jacksonville,15,"$40,902.66 ","$14,767.66 ","$13,939.66 "
